Record ID,Record Title,Video URL,Video Creation Date,Video Length,MetaData (keywords),Recomendation Grouping,Primary?,Video Info,MCQ #1,Q1 Correct Answer,Q1 Distracter A,Q1 Distracter B,Q1 Distracter C,Q1 Distracter D,MCQ#2,Q2 Correct Answer,Q2 Distracter A,Q2 Distracter B,Q2 Distracter C,Q2 Distracter D,MCQ#3,Q3 Correct Answer,Q3 Distracter A,Q3 Distracter B,Q3 Distracter C,Q3 Distracter D,MCQ#4,Q4 Correct Answer,Q4 Distracter A,Q4 Distracter B,Q4 Distracter C,Q4 Distracter D,MCQ#5,Q5 Correct Answer,Q5 Distracter A,Q5 Distracter B,Q5 Distracter C,Q5 Distracter D,Custom Target
71,See the New Firefighting Airplane from Global Supertanker,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_5_5_16_SeetheNewFirefightingAirplanefromGlobalSupertanker,2016 May,11:37,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_71
72,A Brief History of US-Cuba Relations,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_4_9_15_A_Brief_History_of_US_Cuba_Relations,2015 April,6:29,International Business; Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_72
73,Shoppers Beware: Misleading Advertisements and Shady Sales Tactics (6:34),https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-2020_10_2_15_TheSecretsoftheSell_MisleadingAdvertising,2015 October,6:35,Business Communication; Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_73
74,Rescue Efforts Continue After Ecuadors Devastating Earthquake,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_4_19_16_Rescue_Efforts_Continue_After_Ecuadors_Devastating_Earthquake,2016 April,2:41,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_74
75,Government Withdraws Case Against Apple,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_3_28_16_Government_Withdraws_Case_Against_Apple,2016 March,1:38,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_75
76,Rio Olympics Under Fire Less Than Two Months from Opening Ceremonies,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_6_20_16_RioOlympicsUnderFireLessThanTwoMonthsfromOpeningCeremonies,2016 June,2:17,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_76
77,Mercy Part 1,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_3_9_16_Mercy_Part1,2016 March,13:20,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_77
78,Microsoft Artificial Intelligence Experiment Under Fire,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_25_16_MicrosoftArtificialIntelligenceExperimentUnderFire,2016 March,2:40,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_78
79,Presidents Obama Castro Meet in Cuba for Historic Visit,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-SpecialReport_3_21_16_PresidentsObamaCastroMeetinCubaforHistoricVisit,2016 March,5:27,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_79
80,Tourism Gold Rush Brings Cash to Cubans Pockets,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_3_21_16_TourismGoldRushBringsCashtoCubansPockets,2016 March,1:20,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_80
81,Obama Urges Britain to Stay in the EU,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNews_4_22_16_ObamaUrgesBritaintoStayintheEU,2016 April,3:40,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_81
82,Rare Look Inside North Korea,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_5_6_16_RareLookInsideNorthKorea,2016 May,1:55,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_82
83,Solar Impulses Possible Flight Path After Pacific Crossing,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ATM_4_25_16_SolarImpulsesPossibleFlightPathAfterPacificCrossing,2016 April,2:02,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_83
84,Cuba Expected to Become Hot Tourist Destination for Americans,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_6_19_16_CubaExpectedtoBecomeHotTouristDestinationforAmericans,2016 June,3:27,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_84
85,American Eagle Used Real Models in New Ads,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_1_17_14_AmericanEagleUsedRealModelsinNewAds,2014 January,3:03,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_85
86,American Eagle Under Fire for Male Body Positive AerieMan Videos,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_4_5_16_AmericanEagleUnderFireforMaleBodyPositiveAerieManVideos,2016 April,1:41,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_86
87,Facebook Releases New Options Beyond Liking Posts,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_2_24_16_FacebookReleasesNewOptionsBeyondLikingPosts,2016 February,1:10,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_87
88,Jessica Albas Honest Company Faces Proposed Class-Action Lawsuit,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_30_16_JessicaAlbasHonestCompanyFacesProposedClass_ActionLawsuit,2016 March,3:39,Strategic Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_88
89,Persuasive Messages- MELT,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_1001_256,2011,4:46,Business Communication; Shwom; Bovee; Business Communication Essentials; Thill; Essentials of Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_89
90,Online Shopping Gets Real; Finally Finding the Right Fit,https://mediaplayer.pearsoncmg.com/assets/ABC_News-11_6_12_GMA_OnlineShoppingGetsReal,2012 November,4:43,Marketing; Solomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_90
91,Communicating in a World of Diversity- Hewlett-Packard,https://mediaplayer.pearsoncmg.com/assets/bcomm-2013-bcomm_0301_256,2011,3:51,Business Communication; Bovee; Keegan; General Marketing; Thill; Essentials of Business Communication; Whetten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_91
92,Zappos: Marketing - Creating and Capturing Customer Value,https://mediaplayer.pearsoncmg.com/assets/2013-mktg-MKTG2013_Zappos_Value_Full,2012,6:21,Marketing; Management; Armstrong; Clow; International Advertising; Kotler; Principles of Marketing; Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_92
93,Completing Reports and Proposals- Petaluma Orthopedic and Sports Therapy Center,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_1501_256,2011,4:12,Business Communication; Bovee; Business Communication Essentials; Thill; Essentials of Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_93
94,Crafting Messages for Electronic Media- Giant Robot Magazine,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_0701_256,2011,3:08,Business Communication; Bovee; Business Communication Essentials; Thill; Essentials of Business Communication: Shwom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_94
95,Kmart Has Web Shipping Their Pants from Laughter,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-ABC_News-4-22-13_GMA_KmartWebShippingPants,2013 April,2:06,Marketing; Intro to Business; Kotler; Principles of Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_95
96,Designing Visual Communication- Petaluma Orthopedic and Sports Therapy Center,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_1201_256,2011,4:00,Business Communication; Bovee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_96
97,How Do You Know If Your Car Has Recalled Airbags?,https://mediaplayer.pearsoncmg.com/assets/bcomm_abc_business_today_061715-GMA_52115_Know_Car_Has_Recalled_Airbags,2015 May,1:53,Business Communication; Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_97
98,Enhancing Presentations with Slides and Other Visuals- Orange Photography,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_1701b_256,2011,4:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_98
99,FedEx Responds to Viral Video of Mishandled Packages,http://media.pearsoncmg.com/ph/bp/bp_mylabs/akamai/2012/ABC_News/7-27-13_GMA_FedExRespondsToViralVideoOfMishandledPackages.html,2013 July,1:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_99
100,"Finding, Evaluating, and Processing Information- MELT ",https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_1101_256,2011,4:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_100
101,So Called Secret Warranties Could Mean Big Savings on Car Repairs,https://mediaplayer.pearsoncmg.com/assets/bcomm_abc_business_today_021615-GMA_1_16_15_Secret_Warranties_Car_Repairs,2015 January,2:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_101
102,Writing Business Messages- Giant Robot Magazine,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_0501_256,2011,2:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_102
103,Designer Says Ex-Husband Stole Secrets for Rival Line,https://mediaplayer.pearsoncmg.com/assets/ABC_News-11_8_12_GMA_DesignerExStoleSecrets,2012 November,2:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_103
104,"Life is Good: Products, Services, and Brands",https://mediaplayer.pearsoncmg.com/assets/2013-mktg-MKTG2013_LIG_Brands_Full,2012,7:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_104
105,Writing Reports and Proposals- MELT,https://mediaplayer.pearsoncmg.com/assets/2013-bcomm-bcomm_1401_256,2011,3:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_105
106,Rudi's Bakery: Job Satisfaction,https://mediaplayer.pearsoncmg.com/assets/2014-ob_pom-JobSatisfy_Rudis,2012,2:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_106
107,Method: Operations Management & Quality,https://mediaplayer.pearsoncmg.com/assets/2013-biz-cb-method_2013,2012,6:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_107
108,Acer Vs. HP: Can Acer Surpass HP?,https://mediaplayer.pearsoncmg.com/assets/2013-MGMT-ib-AcerVsHP,2011,7:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_108
109,MyGym: Organizing the Business,https://mediaplayer.pearsoncmg.com/assets/2013-biz-cb-mygym_2013,2012,5:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_109
110,Airbus vs. Boeing,https://mediaplayer.pearsoncmg.com/assets/2013-MGMT-ib-AirbusBoeing,2011,11:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_110
111,"Bancfirst: Financial Management: The Financial System, Money, & Banking",https://mediaplayer.pearsoncmg.com/assets/2013-biz-cb-bancfirstfinmgt_2013,2012,5:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_111
112,Boston Boxing,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-2013-MGMT-bostonboxing,2010,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_112
113,Best Boss Ever Pays Employees to go on Vacation,https://mediaplayer.pearsoncmg.com/assets/ABC_News-7_14_12_GMA_BestBoss,2012 July,2:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_113
114,POPS: Financial Information: Accounting & Financial Statements,https://mediaplayer.pearsoncmg.com/assets/2013-biz-cb-pops_2013,2012,6:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_114
115,The California Healthcare Foundation: Performance Management,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-2013-MGMT-HRM-hrm_0302_512,2011,7:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_115
116,DC Shoes: Product Development and Pricing Strategies,https://mediaplayer.pearsoncmg.com/assets/2013-intro_biz-ITB2012_productdev_dcshoe_v3sm,2011,5:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_116
117,Fashonista Sisters Team Up to Repurpose Military Surplus Clothing,https://mediaplayer.pearsoncmg.com/assets/bcomm_abc_business_today_GMA_7_7_15_Fashionista_Sisters_Team_Up,2015 July,3:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_117
118,New Haven Federation of Teachers: Collective Bargaining,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-2013-MGMT-HRM-HRM2013_AFT_Bargaining,2012,6:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_118
119,Facebook CEO Takes 2 Months Paternity Leave,https://mediaplayer.pearsoncmg.com/assets/bcomm_abc_business_today_GMA_11-23-15_Facebook_CEO_Takes_2_Months_Paternity_Leave,2015 November,3:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_119
120,Nom Nom,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-2013-MGMT-nomnom,2012,9:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_120
121,Facebook Stock Drops: Were Investors Misled?,https://mediaplayer.pearsoncmg.com/assets/ABC_News-5_23_12_GMA_FacebookInvestorsMislead,2012 May,2:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_121
122,Our Labor of Love,https://mediaplayer.pearsoncmg.com/assets/2014-add_links-ourlaboroflove,2010,8:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_122
123,Planning,https://mediaplayer.pearsoncmg.com/assets/2013-MGMT-TopicalPlanning,2010,5:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_123
124,Faith in the Founder: Mark Zuckerberg,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-ABC_News-8-18-12_WNT_FaithZuckerberg,2012 August,2:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_124
125,Apple Calls on Congress to Step in Over Showdown with FBI,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_2_25_16_AppleCallsonCongresstoStepinOverShowdownwithFBI,2016 February,3:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_125
126,Mitch McConnell Cities Constitutional Right' To Deny Obama On Supreme Court,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNews_3_16_16_MitchMcConnellCitesConstitutionalRighttoDenyObamaonSupremeCourt,2016 March,1:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_126
127,Erin Andrews Breaks Down in Court Talking About Her Stalkers Video,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_1_16_ErinAndrewsBreaksDowninCourtTalkingAboutHerStalkersVideo,2016 March,6:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_127
128,Inside Googles Culture And Leadership New Book,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_9_23_14_InsideGooglesCultureAndLeadershipNewBook,2014 September,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_128
129,Inherent Racial Bias and Financial Decisions,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_4_25_11_InherentRacialBiasandFinancialDecisions,2011 April,1:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_129
130,Practicing Yoga with Cats,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_2_23_16_PracticingYogawithCats,2016 February,5:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_130
131,"Air Traffic Controllers Overly Fatigued, Report Reveals",https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_8_11_15_Air_Traffic_Controllers_Overly_Fatigued_Report_Reveals,2015 August,2:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_131
132,Landmark Settlement GM Settles Lawsuit,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_3_13_15_Landmark_Settlement_GM_Settles_Lawsuit,2015 March,1:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_132
133,GM Admits to Hiding Safety Issues With Ignition Switch,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_9_17_15_GM_Admits_to_Hiding_Safety_Issues_With_Ignition_Switch,2015 September,2:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_133
134,Rise of Generic Drug Prescriptions Creates Liability Nightmare,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_3_19_13_Rise_of_Generic_Drug_Prescriptions_Creates_Liability_Nightmare,2013 March,1:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_134
135,Congress Weighs in on Gag Clauses for Online Reviews,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_11_4_15_Congress_Weighs_in_on_Gag_Clauses_for_Online_Reviews,2015 November,0:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_135
136,Son of Fallen Officer Receives Surprise Gift at Police Auction,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_5_20_15_Son_of_Fallen_Officer_Receives_Surprise_Gift_at_Police_Auction,2015 May,1:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_136
137,Man Goes From Debt Collector to Debtor,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-2020_11_28_14_True_Confessions_Debt_Collectors,2014 November,7:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_137
138,California Contractor Sues Reality Show for Alleged Defamation,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_23_15_California_Contractor_Sues_Reality_Show_for_Alleged_Defamation,2015 March,2:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_138
139,California AirBNB Guest Refuses to Leave,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_7_22_14_California_AirBNB_Guest_Refuses_to_Leave,2014 July,2:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_139
140,Shire Snags NPS Pharmaceuticals for 5.2 Billion,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_1_12_15_Shire_Snags_NPS_Pharmaceuticals_for_5.2_Billion,2015 January,5:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_140
141,Property Left in Your Hotel Room May Be a Target for Theft,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_2_17_15_Property_Left_in_Your_Hotel_Room_May_Be_a_Target_for_Theft,2015 February,3:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_141
142,Oprah Winfrey Invests in Weight Watchers,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_10_20_15_Oprah_Winfrey_Invests_in_Weight_Watchers,2015 October,2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_142
143,Supreme Court Punts on Affirmative Action Sends Back to Appelate Court,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Special_Report_6_24_13_Supreme_Court_Punts_on_Affirmative_Action_Sends_Back_to_Appelate_Court,2013 June,4:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_143
144,Pilot Files Wrongful-Termination Lawsuit Against Allegiant Air,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_11_13_15_Pilot_Files_Wrongful_Termination_Lawsuit_Against_Allegiant_Air,2015 November,2:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_144
145,Will Second Slender Man Girl Stand Trial,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_9_15_14_Will_Second_Slender_Man_Girl_Stand_Trial,2014 September,3:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_145
146,Car Owner Stunned When Valet Gives Keys to Wrong Person,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_13_15_Car_Owner_Stunned_When_Valet_Gives_Keys_to_Wrong_Person,2015 March,1:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_146
147,Protecting Finances During Divorce,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_6_22_11_Protecting_Finances_During_Divorce,2011 June,5:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_147
148,Terrence Howard and Ex-Wifes Original Divorce Settlement Thrown Out,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_8_25_15_Terrence_Howard_and_Ex_Wifes_Original_Divorce_Settlement_Thrown_Out,2015 August,1:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_148
149,Backlash Over President Obamas New Plan on Gun Control,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_1_5_16_Backlash_Over_President_Obamas_New_Plan_on_Gun_Control,2016 January,2:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_149
150,Number of College Graduates Defaulting on Student Loans Rises,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_8_23_15_Number_of_College_Graduates_Defaulting_on_Student_Loans_Rises,2015 August,2:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_150
151,Lottery Fraud Investigation Across 3 States Involving Millions,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_10_12_15_Lottery_Fraud_Investigation_Across_3_States_Involving_Millions,2015 October,1:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_151
152,Cyber Breach Hit US Government Workers,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_6_5_15_Cyber_Breach_Hit_US_Government_Workers,2015 June,5:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_152
153,20 Percent of Americans Avoid Dentists Because of Costs,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_10_7_15_20_Percent_of_Americans_Avoid_Dentists_Because_of_Costs,2016 October,1:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_153
154,"Government Calls for Expanded, National Airbag Recall",https://media.pearsoncmg.com/ph/bp/bp_mylabs/akamai/2012/ABC_News/GMA-11-19-14-GovernmentCallsforExpandedNationalAirbagRecall.html,2014 November,2:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_154
155,FDA Changes Safety Warnings on Pain-Relief Drugs,https://mediaplayer.pearsoncmg.com/assets/bcomm_abc_business_today_GMA_7_10_15_FDA_Changes_Warnings_Drugs,2015 July,1:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_155
156,Craigslist Founder Dodges Qs on Recall Policy,https://media.pearsoncmg.com/ph/bp/bp_mylabs/akamai/2012/ABC_News/GMA-11-21-14-CraigslistFounderDodgesQsonRecallPolicy.html,2014 November,4:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_156
157,Chrysler Recalls Some Older Jeeps,https://mediaplayer.pearsoncmg.com/assets/HE_BusPub-akamai-streaming-bp-ABC_News-6_18_13_WNT_ChryslerRecallsSomeOlderJeeps,2013 June,1:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_157
158,Behind The Scenes at the World Economic Forum,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_1_21_16_Behind_The_Scenes_at_the_World_Economic_Forum,2016 January,12:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_158
159,Low Oil Prices Create Turmoil on Wall Street,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_1_20_16_Low_Oil_Prices_Create_Turmoil_on_Wall_Street,2016 January,1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_159
160,Car Sales in America Coming off a Record Year,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_1_13_16_Car_Sales_in_America_Coming_off_a_Record_Year,2016 January,1:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_160
161,Americans Lose Billions in Chinese Investment Frauds,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Nightline_1_9_13_Americans_Lose_Billions_in_Chinese_Investment_Frauds,2013 January,6:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_161
162,Bernie Sanders Speech on Foreign Policy - Democratic Socialism,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_11_19_15_Bernie_Sanders_Speech_on_Foreign_Policy_Democratic_Socialism,2015 November,1:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_162
163,FIFA Officials Charged with Corruption,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_5_27_15_FIFA_Officials_Charged_with_Corruption,2015 May,7:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_163
164,North Korea Claims it Has Detonated a Hydrogen Bomb,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_1_6_16_North_Korea_Claims_it_Has_Detonated_a_Hydrogen_Bomb,2016 January,2:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_164
165,US Markets Plunge After Chinese Stock Woes-Mideast Instability,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_1_5_16_US_Markets_Plunge_After_Chinese_Stock_Woes_Mideast_Instability,2016 January,1:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_165
166,Beer Merger Creates World's Largest Brewer,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ATM_Beer_Merger_Creates_Worlds_Largest_Brewer_10_13_15,2015 October,0:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_166
167,JC Penney_A Tale of Two Retailers,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_2_27_15_JC_Penney_A_Tale_of_Two_Retailers,2015 February,4:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_167
